UIC;Gare enquêtée;CSP;Pourcentage;Année
444000;Caen;Militaire;0.7000000000000001;2012
747006;Grenoble;Sans emploi;3.0;2015
677005;Hendaye;Technicien, Agent de maîtrise;3.0;2016
478404;Laval;Technicien, Agent de maîtrise;3.0;2011
396002;Le Mans;Retraité;10.0;2015
223263;Lille Europe;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;36.0;2013
223263;Lille Europe;Retraité;10.0;2013
723197;Lyon Part Dieu;Ouvrier, Employé;27.0;2011
762906;Lyon Saint Exupery TGV;Retraité;6.0;2016
111849;Marne la Vallée Chessy;Artisan, Commerçant, Chef d'entreprise TPE;1.0;2013
111849;Marne la Vallée Chessy;Enseignant, Professeur;0.2;2013
751008;Marseille Saint-Charles;Etudiant (après le bac);20.0;2013
393702;Massy TGV;Non communiqué;0.4;2013
393702;Massy TGV;Agriculteur, Exploitant agricole;2.0;2013
393702;Massy TGV;Ouvrier, Employé;19.0;2013
192039;Metz;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;16.0;2016
773002;Montpellier Saint-Roch;Non communiqué;0.2;2015
141002;Nancy;Enseignant, Professeur;4.0;2014
481002;Nantes;Militaire;0.9;2014
471003;Rennes;Agriculteur, Exploitant agricole;0.2;2014
571000;Tours;Sans emploi;5.0;2016
313874;Amiens;Artisan, Commerçant, Chef d'entreprise TPE;0.8;2015
583005;Angoulême;Retraité;16.0;2012
583005;Angoulême;Sans emploi;6.0;2012
271494;Aéroport Charles de Gaulle 2 TGV;Enseignant, Professeur;1.0;2013
673004;Bayonne;Scolaire (avant le bac);7.0;2013
300822;Belfort Montbéliard TGV;Retraité;11.0;2015
757625;Cannes;Retraité;18.0;2015
444877;Cherbourg;Agriculteur, Exploitant agricole;1.0;2015
478404;Laval;Autre;2.0;2011
142109;Lorraine TGV;Ouvrier, Employé;16.0;2017
773002;Montpellier Saint-Roch;Ouvrier, Employé;19.0;2015
141002;Nancy;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;15.0;2014
547000;Paris Austerlitz;Autre;0.30000000000000004;2013
547000;Paris Austerlitz;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;26.0;2013
547000;Paris Austerlitz;Retraité;9.0;2013
686006;Paris Gare de Lyon;Agriculteur, Exploitant agricole;0.2;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;Etudiant (après le bac);14.0;2012
271007;Paris Nord;Scolaire (avant le bac);2.0;2012
384008;Paris St Lazare;Artisan, Commerçant, Chef d'entreprise TPE;4.0;2013
384008;Paris St Lazare;Enseignant, Professeur;3.0;2013
384008;Paris St Lazare;Etudiant (après le bac);13.0;2013
784009;Perpignan;Autre;0.9;2016
575001;Poitiers;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;21.0;2015
575001;Poitiers;Technicien, Agent de maîtrise;4.0;2015
171009;Reims;Enseignant, Professeur;4.0;2016
611004;Toulouse Matabiau;Cadre, Profession libérale ou intellectuelle, Chef d'entreprise > 10 salariés;12.0;2014
571000;Tours;Etudiant (après le bac);15.0;2016
