UIC;Gare enquêtée;Motif du déplacement;POURCENTAGE;Année
773002.0;Montpellier Saint-Roch;Déplacement professionnel occasionnel;20.0;2015
118000.0;Troyes;Déplacement professionnel occasionnel;18.0;2015
141002.0;Nancy;Déplacement professionnel occasionnel;19.0;2014
142109.0;Lorraine TGV;Démarches administratives, médicales ou achat;1.0;2017
182014.0;Colmar;Loisirs, vacances, visite d'un proche ou ami;21.0;2017
271007.0;Paris Nord;Déplacement domicile - travail habituel;46.0;2012
271494.0;Aéroport Charles de Gaulle 2 TGV;Loisirs, vacances, visite d'un proche ou ami;55.0;2013
300822.0;Belfort Montbéliard TGV;Déplacement domicile - travail habituel;11.0;2015
313874.0;Amiens;Déplacement professionnel occasionnel;6.0;2015
319012.0;Aix en Provence-TGV;Déplacement domicile - travail habituel;1.0;2015
444000.0;Caen;Loisirs, vacances, visite d'un proche ou ami;22.0;2012
673004.0;Bayonne;Déplacement domicile - étude (y compris stage);17.0;2013
755009.0;Toulon;Déplacement professionnel occasionnel;11.0;2014
775007.0;Nîmes;Démarches administratives, médicales ou achat;2.0;2014
113001.0;Paris Est;Déplacement domicile - étude (y compris stage);10.0;2012
118000.0;Troyes;Loisirs, vacances, visite d'un proche ou ami;21.0;2015
318964.0;Avignon TGV;Loisirs, vacances, visite d'un proche ou ami;54.0;2015
319012.0;Aix en Provence-TGV;Déplacement domicile - étude (y compris stage);0.0;2015
345025.0;Lens;Loisirs, vacances, visite d'un proche ou ami;23.0;2016
478404.0;Laval;Déplacement domicile - travail habituel;37.0;2011
547000.0;Paris Austerlitz;Déplacement professionnel occasionnel;21.0;2013
718007.0;Besançon-Viotte;Déplacement domicile - travail habituel;40.0;2012
718007.0;Besançon-Viotte;Déplacement professionnel occasionnel;21.0;2012
182063.0;Mulhouse;Déplacement professionnel occasionnel;19.0;2014
223263.0;Lille Europe;Déplacement domicile - travail habituel;38.0;2013
286005.0;Lille Flandres;Déplacement domicile - travail habituel;50.0;2013
391003.0;Paris Montparnasse 1 et 2 + Vaugirard;Déplacement domicile - travail habituel;34.0;2012
396002.0;Le Mans;Démarches administratives, médicales ou achat;4.0;2015
478404.0;Laval;Déplacement professionnel occasionnel;18.0;2011
484006.0;Angers Saint Laud;Loisirs, vacances, visite d'un proche ou ami;19.0;2015
581009.0;Bordeaux Saint-Jean;Déplacement professionnel occasionnel;22.0;2014
751008.0;Marseille Saint-Charles;Loisirs, vacances, visite d'un proche ou ami;28.0;2013
756056.0;Nice;Démarches administratives, médicales ou achat;6.0;2014
686667.0;Paris Bercy;Loisirs, vacances, visite d'un proche ou ami;26.0;2012
111849.0;Marne la Vallée Chessy;Déplacement domicile - travail habituel;12.0;2013
212027.0;Strasbourg;Déplacement professionnel occasionnel;15.0;2016
271007.0;Paris Nord;Déplacement domicile - étude (y compris stage);7.0;2012
345025.0;Lens;Démarches administratives, médicales ou achat;3.0;2016
411017.0;Rouen Rive Droite;Déplacement domicile - étude (y compris stage);26.0;2014
444000.0;Caen;Déplacement domicile - travail habituel;45.0;2012
444877.0;Cherbourg;Déplacement professionnel occasionnel;16.0;2015
471003.0;Rennes;Déplacement domicile - étude (y compris stage);11.0;2014
484006.0;Angers Saint Laud;Déplacement domicile - étude (y compris stage);12.0;2015
